"","All_MESH","filter_frames","DiseaseName_ARD_Paper","MESH_ID","Category","Likelihood.disease.is.ageing.related","Name_node","Phenotyping_Algorithms","MESH_Term","All_MESH_Terms"
"388","MESH:D015461","r'\bt cell prolymphocytic leukemias\b', r'\bt cell prolymphocytic leukemia\b', r'\bchronic t cell leukemia\b', r'\bchronic t lymphocytic leukemia\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Prolymphocytic, T-Cell"
"389","MESH:D015463","r'\bprolymphocytic leukemias\b', r'\bprolymphocytic leukemia\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Prolymphocytic"
"390","MESH:D015464","r'\bchronic granulocytic leukemia\b', r'\bchronic granulocytic leukemias\b', r'\bchronic myelocytic leukemia\b', r'\bchronic myelogenous leukemia\b', r'\bchronic myeloid leukemia\b', r'\bph1 positive myelogenous leukemia\b', r'\bph1 positive myeloid leukemia\b', r'\bphiladelphia positive myeloid leukemia\b', r'\bchronic myelocytic leukemias\b', r'\bchronic myelogenous leukemias\b', r'\bchronic myeloid leukemias\b', r'\bph1 positive myelogenous leukemias\b', r'\bph1 positive myeloid leukemias\b', r'\bphiladelphia positive myeloid leukemias\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
"391","MESH:D015470","r'\bacute myeloblastic leukemia\b', r'\bacute myelocytic leukemia\b', r'\bacute myelogenous leukemia\b', r'\bacute myeloid leukemia\b', r'\bacute nonlymphoblastic leukemia\b', r'\bacute nonlymphocytic leukemia\b', r'\bacute myeloblastic leukemias\b', r'\bacute myelocytic leukemias\b', r'\bacute myelogenous leukemias\b', r'\bacute myeloid leukemias\b', r'\bacute nonlymphoblastic leukemias\b', r'\bacute nonlymphocytic leukemias\b', r'\bacute myeloid leukemia with maturation\b', r'\bacute myeloid leukemia without maturation\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Myeloid, Acute"
"392","MESH:D015471","r'\bacute basophilic leukemia\b', r'\bacute basophilic leukemias\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Basophilic, Acute"
"393","MESH:D015473","r'\bacute promyelocytic leukemia\b', r'\bprogranulocytic leukemia\b', r'\bacute promyelocytic leukemias\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Promyelocytic, Acute"
"394","MESH:D015477","r'\bchronic myelomonocytic leukemia\b', r'\bchronic myelomonocytic leukemias\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Myelomonocytic, Chronic"
"395","MESH:D015479","r'\bacute myelomonocytic leukemia\b', r'\bnaegeli type myeloid leukemia\b', r'\bacute myelomonocytic leukemias\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Myelomonocytic, Acute"
"500","MESH:D023981","r'\bextramedullary myeloid cell tumor\b', r'\bgranulocytic sarcoma\b', r'\bgranulocytic sarcomas\b', r'\bmyeloid sarcomas\b', r'\bmyeloid sarcoma\b', r'\bchloroma\b', r'\bchloromas\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Sarcoma, Myeloid"
"531","MESH:D054403","r'\bb cell prolymphocytic leukemia\b', r'\bb cell prolymphocytic leukemias\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Prolymphocytic, B-Cell"
"532","MESH:D054429","r'\bjuvenile myelomonocytic leukemia\b', r'\bjuvenile myelomonocytic leukemias\b', r'\bjuvenile chronic myelogenous leukemia\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Myelomonocytic, Juvenile"
"533","MESH:D054438","r'\batypical chronic myeloid leukemia\b', r'\bph1 negative myelogenous leukemia\b', r'\bph1 negative myeloid leukemia\b', r'\bphiladelphia negative myeloid leukemia\b', r'\bph1 negative myelogenous leukemias\b', r'\bph1 negative myeloid leukemias\b', r'\bphiladelphia negative myeloid leukemias\b'","Leukaemia","MESH:D007938","Cancers","High","malig_leukaemia","Leukaemia","Leukemia","Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative"
"218","MESH:D008010","r'\blichen ruber planus\b', r'\blichen rubra planus\b', r'\blichen planus\b'","Lichen Planus","MESH:D008010","Skin","High","lichen_planus","Lichen Planus","Lichen Planus","Lichen Planus"
"443","MESH:D017676","r'\boral lichen planus\b'","Lichen Planus","MESH:D008010","Skin","High","lichen_planus","Lichen Planus","Lichen Planus","Lichen Planus, Oral"
"165","MESH:D006501","r'\bhepatic coma\b', r'\bhepatic comas\b', r'\bhepatic encephalopathies\b', r'\bhepatocerebral encephalopathies\b', r'\bportal systemic encephalopathies\b', r'\bportosystemic encephalopathies\b', r'\bhepatic encephalopathy\b', r'\bhepatocerebral encephalopathy\b', r'\bportal systemic encephalopathy\b', r'\bportosystemic encephalopathy\b', r'\bhepatic stupor\b', r'\bhepatic stupors\b', r'\bfulminant hepatic failure with cerebral edema\b'","Liver Failure","MESH:D017093","Digestive","High","liver_fail","Hepatic failure","Liver Failure","Hepatic Encephalopathy"
"432","MESH:D017093","r'\bhepatic failure\b', r'\bliver failure\b'","Liver Failure","MESH:D017093","Digestive","High","liver_fail","Hepatic failure","Liver Failure","Liver Failure"
"433","MESH:D017114","r'\bacute hepatic failure\b', r'\bacute liver failure\b', r'\bfulminant hepatic failure\b', r'\bfulminating hepatic failure\b', r'\bfulminant hepatic failures\b', r'\bfulminating hepatic failures\b', r'\bfulminant liver failure\b', r'\bfulminating liver failure\b', r'\bfulminant liver failures\b', r'\bfulminating liver failures\b'","Liver Failure","MESH:D017093","Digestive","High","liver_fail","Hepatic failure","Liver Failure","Liver Failure, Acute"
"515","MESH:D047508","r'\bmassive hepatic necrosis\b', r'\bacute yellow atrophy\b', r'\bacute yellow atrophies\b', r'\bacute yellow atrophy of liver\b'","Liver Failure","MESH:D017093","Digestive","High","liver_fail","Hepatic failure","Liver Failure","Massive Hepatic Necrosis"
"557","MESH:D058625","r'\bchronic liver failure\b', r'\bchronic liver failures\b', r'\bend stage liver disease\b'","Liver Failure","MESH:D017093","Digestive","High","liver_fail","Hepatic failure","Liver Failure","End Stage Liver Disease"
"565","MESH:D065290","r'\bacute on chronic liver failure\b', r'\bacute on chronic liver failures\b'","Liver Failure","MESH:D017093","Digestive","High","liver_fail","Hepatic failure","Liver Failure","Acute-On-Chronic Liver Failure"
"229","MESH:D008268","r'\bage related macular degeneration\b', r'\bmacular degeneration\b', r'\bage related macular degenerations\b', r'\bmacular degenerations\b', r'\bmacular dystrophies\b', r'\bmacular dystrophy\b', r'\bage related maculopathies\b', r'\bage related maculopathy\b'","Macular Degeneration","MESH:D008268","Eye","High","macula_degen","Macular Degeneration","Macular Degeneration","Macular Degeneration"
"550","MESH:D057135","r'\bwet macular degenerations\b', r'\bwet macular degeneration\b'","Macular Degeneration","MESH:D008268","Eye","High","macula_degen","Macular Degeneration","Macular Degeneration","Wet Macular Degeneration"
"234","MESH:D008575","r'\bmeniere disease\b', r'\bménière disease\b', r'\bmenieres disease\b', r'\bménières disease\b', r'\bménière diseases\b', r'\bménières diseases\b', r'\bmenieres syndrome\b', r'\bauditory vertigo\b', r'\baural vertigo\b', r'\bménières vertigo\b', r'\botogenic vertigo\b', r'\bauditory vertigos\b', r'\bménières vertigos\b', r'\botogenic vertigos\b', r'\bmeniere syndrome\b', r'\bménière vertigo\b'","Meniere's Disease","MESH:D008575","Ear","High","meniere","Menieres Disease","Meniere Disease","Meniere Disease"
"240","MESH:D008998","r'\bbenign monoclonal gammapathies\b', r'\bbenign monoclonal gammapathy\b', r'\bbenign monoclonal gammopathies\b', r'\bbenign monoclonal gammopathy\b', r'\bmonoclonal gammapathy of undetermined significance\b', r'\bmonoclonal gammopathy of undetermined significance\b'","Monoclonal Gammopathy of Unknown Significance","MESH:D008998","Cancers","High","malig_mgus","Monoclonal Gammopathy of Unknown Significance","Monoclonal Gammopathy of Undetermined Significance","Monoclonal Gammopathy of Undetermined Significance"
"22","MESH:D000690","r'\bguam form amyotrophic lateral sclerosis\b', r'\bparkinsonism dementia complex of guam amyotrophic lateral sclerosis\b', r'\bguam disease\b', r'\blou gehrigs disease\b', r'\bamyotrophic lateral sclerosis motor neuron disease\b', r'\bamyotrophic lateral sclerosis\b', r'\bamyotrophic lateral sclerosis parkinsonism dementia complex 1\b', r'\bamyotrophic lateral sclerosis with dementia\b', r'\bcharcot disease\b', r'\bdementia with amyotrophic lateral sclerosis\b', r'\bgehrig disease\b', r'\bgehrigs disease\b', r'\bguam form of amyotrophic lateral sclerosis\b', r'\blou gehrig disease\b'","Motor Neurone Disease","MESH:D016472","Neurological","High","mnd","Motor Neurone Disease","Motor Neuron Disease","Amyotrophic Lateral Sclerosis"
"268","MESH:D010244","r'\bprogressive bulbar palsies\b', r'\bbulbar palsies\b', r'\bbulbar palsy\b', r'\bprogressive bulbar palsy\b', r'\bbulbar paralysis\b', r'\bbulbar paralyses\b', r'\bchildhood progressive bulbar palsy\b', r'\bfazio londe disease\b', r'\bfazio londe syndrome\b', r'\bprogressive bulbar palsy of childhood\b'","Motor Neurone Disease","MESH:D016472","Neurological","High","mnd","Motor Neurone Disease","Motor Neuron Disease","Bulbar Palsy, Progressive"
"417","MESH:D016472","r'\bprimary lateral scleroses\b', r'\bprimary lateral sclerosis\b', r'\bfamilial motor neuron disease\b', r'\blower motor neuron disease\b', r'\bsecondary motor neuron disease\b', r'\bupper motor neuron disease\b', r'\bmotor neuron disease\b', r'\bmotor neuron diseases\b', r'\blateral scleroses\b', r'\blateral sclerosis\b', r'\banterior horn cell disease\b', r'\bmotor system disease\b', r'\bmotor system diseases\b'","Motor Neurone Disease","MESH:D016472","Neurological","High","mnd","Motor Neurone Disease","Motor Neuron Disease","Motor Neuron Disease"
"242","MESH:D009157","r'\bgeneralized myasthenia gravis\b', r'\bocular myasthenia gravis\b', r'\bmyasthenia gravis\b'","Myasthenia Gravis","MESH:D009157","Neurological","High","myasthenia","Myasthenia Gravis","Myasthenia Gravis","Myasthenia Gravis"
"28","MESH:D000753","r'\brefractory anemias\b', r'\brefractory anemia\b'","Myelodysplastic Syndrome","MESH:D009190","Cancers","High","malig_mds","Myelodysplastic Syndrome","Myelodysplastic Syndromes","Anemia, Refractory"
"29","MESH:D000754","r'\bsmoldering leukemia\b', r'\bsmouldering leukemia\b', r'\bsmoldering leukemias\b', r'\brefractory anemia with excess of blasts\b'","Myelodysplastic Syndrome","MESH:D009190","Cancers","High","malig_mds","Myelodysplastic Syndrome","Myelodysplastic Syndromes","Anemia, Refractory, with Excess of Blasts"
"30","MESH:D000756","r'\bsideroblastic anemias\b', r'\bsideroblastic anemia\b'","Myelodysplastic Syndrome","MESH:D009190","Cancers","High","malig_mds","Myelodysplastic Syndrome","Myelodysplastic Syndromes","Anemia, Sideroblastic"
"246","MESH:D009190","r'\bhematopoetic myelodysplasia\b', r'\bhematopoetic myelodysplasias\b', r'\bdysmyelopoietic syndrome\b', r'\bmyelodysplastic syndrome\b', r'\bdysmyelopoietic syndromes\b', r'\bmyelodysplastic syndromes\b'","Myelodysplastic Syndrome","MESH:D009190","Cancers","High","malig_mds","Myelodysplastic Syndrome","Myelodysplastic Syndromes","Myelodysplastic Syndromes"
"6","MESH:D000072657","r'\bst elevated myocardial infarction\b', r'\bst segment elevation myocardial infarction\b', r'\bst elevation myocardial infarction\b'","Myocardial Infarction","MESH:D009203","Cardiovascular","High","mi","Myocardial Infarction","Myocardial Infarction","ST Elevation Myocardial Infarction"
"7","MESH:D000072658","r'\bnon st elevation myocardial infarction\b', r'\bnon st elevation myocardial infarctions\b', r'\bnon st elevated myocardial infarction\b'","Myocardial Infarction","MESH:D009203","Cardiovascular","High","mi","Myocardial Infarction","Myocardial Infarction","Non-ST Elevated Myocardial Infarction"
"249","MESH:D009203","r'\bmyocardial infarction\b', r'\bmyocardial infarctions\b', r'\bmyocardial infarct\b', r'\bmyocardial infarcts\b', r'\bprotection against myocardial infarction\b', r'\bcardiovascular stroke\b', r'\bcardiovascular strokes\b', r'\bheart attack\b', r'\bheart attacks\b'","Myocardial Infarction","MESH:D009203","Cardiovascular","High","mi","Myocardial Infarction","Myocardial Infarction","Myocardial Infarction"
"546","MESH:D056988","r'\banterolateral myocardial infarction\b', r'\banteroseptal myocardial infarction\b', r'\banterolateral myocardial infarctions\b', r'\banteroseptal myocardial infarctions\b', r'\banterior wall myocardial infarction\b', r'\bacute anterior wall myocardial infarction\b'","Myocardial Infarction","MESH:D009203","Cardiovascular","High","mi","Myocardial Infarction","Myocardial Infarction","Anterior Wall Myocardial Infarction"
"547","MESH:D056989","r'\bdiaphragmatic myocardial infarction\b', r'\binferior myocardial infarction\b', r'\bdiaphragmatic myocardial infarctions\b', r'\binferior myocardial infarctions\b', r'\binferior wall myocardial infarction\b', r'\bacute inferior myocardial infarction\b'","Myocardial Infarction","MESH:D009203","Cardiovascular","High","mi","Myocardial Infarction","Myocardial Infarction","Inferior Wall Myocardial Infarction"
"49","MESH:D001750","r'\bneurogenic bladder disorder\b', r'\bneurogenic bladder\b', r'\bbladder neurogenesis\b', r'\burinary bladder neurogenesis\b', r'\batonic neurogenic bladder\b', r'\bspastic neurogenic bladder\b', r'\buninhibited neurogenic bladder\b', r'\batonic neurogenic urinary bladder\b', r'\bspastic neurogenic urinary bladder\b', r'\buninhibited neurogenic urinary bladder\b', r'\bneurogenic urinary bladder disorder\b', r'\bneurogenic urinary bladder\b', r'\bneurogenic bladder disorders\b', r'\bneurogenic dysfunction of the urinary bladder\b', r'\bneuropathic bladder\b', r'\burinary bladder neurogenic dysfunction\b'","Neuropathic Bladder","MESH:D001750","Genitourinary","High","neuro_bladder","Neuropathic Bladder","Urinary Bladder, Neurogenic","Urinary Bladder, Neurogenic"
"65","MESH:D002051","r'\bburkitt cell leukemia\b', r'\bburkitt leukemia\b', r'\bburkitts leukemia\b', r'\bl3 lymphocytic leukemia\b', r'\bl3 lymphocytic leukemias\b', r'\bafrican lymphoma\b', r'\bburkitt lymphoma\b', r'\bburkitts lymphoma\b', r'\bburkitt tumor\b', r'\bburkitts tumor\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Burkitt Lymphoma"
"227","MESH:D008224","r'\bbrill symmers disease\b', r'\bgiant follicular lymphoma\b', r'\bgrade 1 follicular lymphoma\b', r'\bgrade 2 follicular lymphoma\b', r'\bgrade 3 follicular lymphoma\b', r'\bgiant follicular lymphomas\b', r'\bnodular histiocytic lymphoma\b', r'\bnodular histiocytic lymphomas\b', r'\bfollicular large cell lymphoma\b', r'\bfollicular large cell lymphomas\b', r'\bnodular large lymphoid lymphoma\b', r'\bfollicular mixed cell lymphoma\b', r'\bnodular lymphoma\b', r'\bfollicular lymphomas\b', r'\bfollicular mixed cell lymphomas\b', r'\bsmall follicular center cell lymphoma\b', r'\bnodular lymphomas\b', r'\bfollicular small cleaved cell lymphoma\b', r'\bfollicular lymphoma\b', r'\bnodular large follicular center cell lymphoma\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, Follicular"
"228","MESH:D008228","r'\bmixed lymphocytic histiocytic lymphoma\b', r'\bmixed lymphocytic histiocytic lymphomas\b', r'\batypical diffuse small lymphoid lymphoma\b', r'\bdiffuse lymphoma\b', r'\bdiffuse mixed cell lymphoma\b', r'\bdiffuse undifferentiated lymphoma\b', r'\bhigh grade lymphoma\b', r'\bintermediate grade lymphoma\b', r'\blow grade lymphoma\b', r'\bmixed lymphoma\b', r'\bmixed cell lymphoma\b', r'\bnonhodgkin lymphoma\b', r'\bnon hodgkin lymphoma\b', r'\bnonhodgkins lymphoma\b', r'\bnon hodgkins lymphoma\b', r'\bpleomorphic lymphoma\b', r'\bdiffuse lymphomas\b', r'\bdiffuse mixed cell lymphomas\b', r'\bdiffuse undifferentiated lymphomas\b', r'\bhigh grade lymphomas\b', r'\bintermediate grade lymphomas\b', r'\blow grade lymphomas\b', r'\bsmall noncleaved cell lymphoma\b', r'\bsmall non cleaved cell lymphoma\b', r'\bmixed lymphomas\b', r'\bmixed cell lymphomas\b', r'\bpleomorphic lymphomas\b', r'\bsmall noncleaved cell lymphomas\b', r'\bsmall non cleaved cell lymphomas\b', r'\bundifferentiated lymphomas\b', r'\bundifferentiated lymphoma\b', r'\bdiffuse mixed small and large cell lymphoma\b', r'\blymphatic sarcoma\b', r'\breticulum cell sarcoma\b', r'\blymphatic sarcomas\b', r'\breticulum cell sarcomas\b', r'\bdiffuse small cleaved cell lymphoma\b', r'\blymphosarcoma\b', r'\blymphosarcomas\b', r'\breticulosarcoma\b', r'\breticulosarcomas\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, Non-Hodgkin"
"244","MESH:D009182","r'\bmycosis fungoides\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Mycosis Fungoides"
"318","MESH:D012751","r'\bsezary erythroderma\b', r'\bsezarys lymphoma\b', r'\bsezary syndrome\b', r'\bsezary lymphoma\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Sezary Syndrome"
"407","MESH:D016393","r'\bb cell lymphoma\b', r'\bb cell lymphomas\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, B-Cell"
"408","MESH:D016399","r'\bt cell lymphomas\b', r'\bt cell lymphoma\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, T-Cell"
"409","MESH:D016400","r'\blarge cell immunoblastic lymphoma\b', r'\blarge cell immunoblastic lymphomas\b', r'\bdiffuse immunoblastic lymphosarcoma\b', r'\bdiffuse immunoblastic lymphosarcomas\b', r'\bimmunoblastic large cell lymphoma\b', r'\bimmunoblastic large cell lymphomas\b', r'\bimmunoblastic sarcoma\b', r'\bimmunoblastic sarcomas\b', r'\bimmunoblastoma\b', r'\bimmunoblastomas\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, Large-Cell, Immunoblastic"
"410","MESH:D016403","r'\bdiffuse histiocytic lymphoma\b', r'\bdiffuse histiocytic lymphomas\b', r'\bdiffuse large cell lymphoma\b', r'\bdiffuse large cell lymphomas\b', r'\bdiffuse large lymphoid lymphoma\b', r'\bhistiocytic lymphoma\b', r'\bhistiocytic lymphomas\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, Large B-Cell, Diffuse"
"411","MESH:D016410","r'\bcutaneous t cell lymphoma\b', r'\bcutaneous t cell lymphomas\b', r'\bgranulomatous slack skin\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, T-Cell, Cutaneous"
"412","MESH:D016411","r'\bperipheral t cell lymphoma\b', r'\bperipheral t cell lymphomas\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, T-Cell, Peripheral"
"418","MESH:D016483","r'\baids associated lymphoma\b', r'\baids related lymphoma\b', r'\bhiv related lymphoma\b', r'\baids associated lymphomas\b', r'\baids related lymphomas\b', r'\bhiv related lymphomas\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, AIDS-Related"
"446","MESH:D017728","r'\banaplastic large cell lymphoma\b', r'\banaplastic large cell lymphomas\b', r'\bki 1 lymphoma\b', r'\bki 1 lymphomas\b', r'\bcd30+ anaplastic large cell lymphoma\b', r'\bcd30 positive anaplastic large cell lymphoma\b', r'\bsystemic anaplastic large cell lymphoma\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, Large-Cell, Anaplastic"
"447","MESH:D017731","r'\blymphomatoid papuloses\b', r'\blymphomatoid papulosis\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphomatoid Papulosis"
"488","MESH:D020522","r'\bpoorly differentiated diffuse lymphocytic lymphoma\b', r'\bcentrocytic small cell lymphoma\b', r'\bmantle cell lymphoma\b', r'\bmantle zone lymphoma\b', r'\bcentrocytic small cell lymphomas\b', r'\bmantle cell lymphomas\b', r'\bmantle zone lymphomas\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, Mantle-Cell"
"530","MESH:D054391","r'\bnasal extranodal nk t cell lymphoma\b', r'\bnasal and nasal type extranodal nk t cell lymphoma\b', r'\bnasal type extranodal nk t cell lymphoma\b', r'\bextranodal nk t cell lymphoma\b', r'\bextranodal nk t cell lymphomas\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, Extranodal NK-T-Cell"
"534","MESH:D054446","r'\bprimary cutaneous anaplastic large cell lymphoma\b', r'\bprimary cutaneous cd30 positive large t cell lymphoma\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Lymphoma, Primary Cutaneous Anaplastic Large Cell"
"556","MESH:D058527","r'\benteropathy associated t cell lymphomas\b', r'\benteropathy associated t cell lymphoma\b'","Non Hodgkins Lymphoma","MESH:D008228","Cancers","High","malig_nhl","Non-Hodgkin Lymphoma","Lymphoma, Non-Hodgkin","Enteropathy-Associated T-Cell Lymphoma"
"34","MESH:D001022","r'\baortic incompetence\b', r'\baortic valve incompetence\b', r'\baortic valve insufficiency\b', r'\baortic regurgitation\b', r'\baortic valve regurgitation\b'","Non-rheumatic Aortic valve disorder","MESH:D001022","Cardiovascular","High","nonrh_aortic","Nonrheumatic aortic valve disorders","Aortic Valve Insufficiency","Aortic Valve Insufficiency"
"35","MESH:D001023","r'\baortic valve prolapse\b', r'\baortic valve prolapses\b'","Non-rheumatic Aortic valve disorder","MESH:D001023","Cardiovascular","High","nonrh_aortic","Nonrheumatic aortic valve disorders","Aortic Valve Prolapse","Aortic Valve Prolapse"
"36","MESH:D001024","r'\baortic stenoses\b', r'\baortic valve stenoses\b', r'\baortic stenosis\b', r'\baortic valve stenosis\b'","Non-rheumatic Aortic valve disorder","MESH:D001024","Cardiovascular","High","nonrh_aortic","Nonrheumatic aortic valve disorders","Aortic Valve Stenosis","Aortic Valve Stenosis"
"237","MESH:D008944","r'\bmitral incompetence\b', r'\bmitral valve incompetence\b', r'\bmitral insufficiency\b', r'\bmitral valve insufficiency\b', r'\bmitral regurgitation\b', r'\bmitral valve regurgitation\b'","Non-rheumatic Mitral valve disorder","MESH:D008944","Cardiovascular","High","nonrh_mitral","Nonrheumatic mitral valve disorders","Mitral Valve Insufficiency","Mitral Valve Insufficiency"
"238","MESH:D008945","r'\bmitral click murmur syndrome\b', r'\bsystolic click murmur syndrome\b', r'\bfloppy mitral valve\b', r'\bprolapsed mitral valve\b', r'\bfloppy mitral valves\b', r'\bprolapsed mitral valves\b', r'\bmitral valve prolapse\b', r'\bmitral valve prolapses\b', r'\bclick murmur syndrome\b', r'\bclick murmur syndromes\b', r'\bmitral valve prolapse syndrome\b'","Non-rheumatic Mitral valve disorder","MESH:D008945","Cardiovascular","High","nonrh_mitral","Nonrheumatic mitral valve disorders","Mitral Valve Prolapse","Mitral Valve Prolapse"
"239","MESH:D008946","r'\bmitral stenoses\b', r'\bmitral valve stenoses\b', r'\bmitral stenosis\b', r'\bmitral valve stenosis\b'","Non-rheumatic Mitral valve disorder","MESH:D008946","Cardiovascular","High","nonrh_mitral","Nonrheumatic mitral valve disorders","Mitral Valve Stenosis","Mitral Valve Stenosis"
"47","MESH:D001748","r'\bbladder neck obstruction\b', r'\bbladder outlet obstruction\b', r'\burinary bladder neck obstruction\b'","Obstructive and reflux uropathy","MESH:D014517","Genitourinary","High","obstr_reflux","Obstructive and reflux uropathy","Ureteral Obstruction","Urinary Bladder Neck Obstruction"
"359","MESH:D014517","r'\bureteral obstructions\b', r'\bureteral obstruction\b'","Obstructive and reflux uropathy","MESH:D014517","Genitourinary","High","obstr_reflux","Obstructive and reflux uropathy","Ureteral Obstruction","Ureteral Obstruction"
"360","MESH:D014525","r'\burethral stenoses\b', r'\burethral stenosis\b', r'\burethral strictures\b', r'\burethral stricture\b', r'\banterior urethral stricture\b', r'\bposterior urethral stricture\b', r'\banterior urethral strictures\b', r'\bposterior urethral strictures\b'","Obstructive and reflux uropathy","MESH:D014517","Genitourinary","High","obstr_reflux","Obstructive and reflux uropathy","Ureteral Obstruction","Urethral Stricture"
"368","MESH:D014718","r'\bvesicoureteral reflux\b', r'\bvesico ureteral reflux\b', r'\bvesicoureteral reflux 1\b', r'\bvesicoureteral reflux 3\b', r'\bvesicoureteral reflux 8\b'","Obstructive and reflux uropathy","MESH:D014718","Genitourinary","High","obstr_reflux","Obstructive and reflux uropathy","Vesico-Ureteral Reflux","Vesico-Ureteral Reflux"
"135","MESH:D004932","r'\besophageal varices\b', r'\bgastric varices\b', r'\besophageal varix\b', r'\bgastric varix\b', r'\besophageal and gastric varices\b'","Oesophageal Varices","MESH:D004932","Digestive","High","varices","Oesophageal varices","Esophageal and Gastric Varices","Esophageal and Gastric Varices"
"259","MESH:D010003","r'\bdegenerative arthritides\b', r'\bdegenerative arthritis\b', r'\bfemale specific osteoarthritis of hip\b', r'\bhand osteoarthritis\b', r'\bhoa heberden nodes\b', r'\bosteoarthritides\b', r'\bosteoarthritis of distal interphalangeal joints\b', r'\bosteoarthritis of hip\b', r'\bosteoarthritis of knee/hip\b', r'\bosteoarthritis susceptibility 1\b', r'\bosteoarthritis susceptibility 2\b', r'\bosteoarthritis susceptibility 3\b', r'\bosteoarthritis susceptibility 4\b', r'\bosteoarthritis susceptibility 5\b', r'\bosteoarthritis susceptibility 6\b', r'\bosteoarthroses\b', r'\bosteoarthrosis\b', r'\bosteoarthrosis deformans\b', r'\bosteoarthritis\b'","Osteoarthritis","MESH:D010003","Musculoskeletal","High","oa","Osteoarthritis","Osteoarthritis","Osteoarthritis"
"377","MESH:D015207","r'\bhip osteoarthritides\b', r'\bhip osteoarthritis\b', r'\bcoxarthroses\b', r'\bcoxarthrosis\b', r'\bosteoarthritis of hips\b'","Osteoarthritis","MESH:D010003","Musculoskeletal","High","oa","Osteoarthritis","Osteoarthritis","Osteoarthritis, Hip"
